1,Bulbasaur,https://cdn.bulbagarden.net/upload/thumb/2/21/001Bulbasaur.png/250px-001Bulbasaur.png,https://www.serebii.net//pokedex-swsh/icon/001.png,grass,poison,45,49,49,65,65,45
2,Ivysaur,https://cdn.bulbagarden.net/upload/thumb/7/73/002Ivysaur.png/250px-002Ivysaur.png,https://www.serebii.net//pokedex-swsh/icon/002.png,grass,poison,60,62,63,80,80,60
3,Venusaur,https://cdn.bulbagarden.net/upload/thumb/a/ae/003Venusaur.png/250px-003Venusaur.png,https://www.serebii.net//pokedex-swsh/icon/003.png,grass,poison,80,82,83,100,100,80
4,Charmander,https://cdn.bulbagarden.net/upload/thumb/7/73/004Charmander.png/250px-004Charmander.png,https://www.serebii.net//pokedex-swsh/icon/004.png,fire,,39,52,43,60,50,65
5,Charmeleon,https://cdn.bulbagarden.net/upload/thumb/4/4a/005Charmeleon.png/250px-005Charmeleon.png,https://www.serebii.net//pokedex-swsh/icon/005.png,fire,,58,64,58,80,65,80
6,Charizard,https://cdn.bulbagarden.net/upload/thumb/7/7e/006Charizard.png/250px-006Charizard.png,https://www.serebii.net//pokedex-swsh/icon/006.png,fire,flying,78,84,78,109,85,100
7,Squirtle,https://cdn.bulbagarden.net/upload/thumb/3/39/007Squirtle.png/250px-007Squirtle.png,https://www.serebii.net//pokedex-swsh/icon/007.png,water,,44,48,65,50,64,43
8,Wartortle,https://cdn.bulbagarden.net/upload/thumb/0/0c/008Wartortle.png/250px-008Wartortle.png,https://www.serebii.net//pokedex-swsh/icon/008.png,water,,59,63,80,65,80,58
9,Blastoise,https://cdn.bulbagarden.net/upload/thumb/0/02/009Blastoise.png/250px-009Blastoise.png,https://www.serebii.net//pokedex-swsh/icon/009.png,water,,79,83,100,85,105,78
10,Caterpie,https://cdn.bulbagarden.net/upload/thumb/5/5d/010Caterpie.png/250px-010Caterpie.png,https://www.serebii.net//pokedex-swsh/icon/010.png,bug,,45,30,35,20,20,45
11,Metapod,https://cdn.bulbagarden.net/upload/thumb/c/cd/011Metapod.png/250px-011Metapod.png,https://www.serebii.net//pokedex-swsh/icon/011.png,bug,,50,20,55,25,25,30
12,Butterfree,https://cdn.bulbagarden.net/upload/thumb/d/d1/012Butterfree.png/250px-012Butterfree.png,https://www.serebii.net//pokedex-swsh/icon/012.png,bug,flying,60,45,50,90,80,70
13,Weedle,https://cdn.bulbagarden.net/upload/thumb/d/df/013Weedle.png/250px-013Weedle.png,https://www.serebii.net//pokedex-swsh/icon/013.png,bug,poison,40,35,30,20,20,50
14,Kakuna,https://cdn.bulbagarden.net/upload/thumb/f/f0/014Kakuna.png/250px-014Kakuna.png,https://www.serebii.net//pokedex-swsh/icon/014.png,bug,poison,45,25,50,25,25,35
15,Beedrill,https://cdn.bulbagarden.net/upload/thumb/6/61/015Beedrill.png/250px-015Beedrill.png,https://www.serebii.net//pokedex-swsh/icon/015.png,bug,poison,65,90,40,45,80,75
16,Pidgey,https://cdn.bulbagarden.net/upload/thumb/5/55/016Pidgey.png/250px-016Pidgey.png,https://www.serebii.net//pokedex-swsh/icon/016.png,normal,flying,40,45,40,35,35,56
17,Pidgeotto,https://cdn.bulbagarden.net/upload/thumb/7/7a/017Pidgeotto.png/250px-017Pidgeotto.png,https://www.serebii.net//pokedex-swsh/icon/017.png,normal,flying,63,60,55,50,50,71
18,Pidgeot,https://cdn.bulbagarden.net/upload/thumb/5/57/018Pidgeot.png/250px-018Pidgeot.png,https://www.serebii.net//pokedex-swsh/icon/018.png,normal,flying,83,80,75,70,70,101
19,Rattata,https://cdn.bulbagarden.net/upload/thumb/4/46/019Rattata.png/250px-019Rattata.png,https://www.serebii.net//pokedex-swsh/icon/019.png,normal,,30,56,35,25,35,72
20,Raticate,https://cdn.bulbagarden.net/upload/thumb/f/f4/020Raticate.png/250px-020Raticate.png,https://www.serebii.net//pokedex-swsh/icon/020.png,normal,,55,81,60,50,70,97
21,Spearow,https://cdn.bulbagarden.net/upload/thumb/8/8b/021Spearow.png/250px-021Spearow.png,https://www.serebii.net//pokedex-swsh/icon/021.png,normal,flying,40,60,30,31,31,70
22,Fearow,https://cdn.bulbagarden.net/upload/thumb/a/a0/022Fearow.png/250px-022Fearow.png,https://www.serebii.net//pokedex-swsh/icon/022.png,normal,flying,65,90,65,61,61,100
23,Ekans,https://cdn.bulbagarden.net/upload/thumb/f/fa/023Ekans.png/250px-023Ekans.png,https://www.serebii.net//pokedex-swsh/icon/023.png,poison,,35,60,44,40,54,55
24,Arbok,https://cdn.bulbagarden.net/upload/thumb/c/cd/024Arbok.png/250px-024Arbok.png,https://www.serebii.net//pokedex-swsh/icon/024.png,poison,,60,95,69,65,79,80
25,Pikachu,https://cdn.bulbagarden.net/upload/thumb/0/0d/025Pikachu.png/250px-025Pikachu.png,https://www.serebii.net//pokedex-swsh/icon/025.png,electric,,35,55,40,50,50,90
26,Raichu,https://cdn.bulbagarden.net/upload/thumb/8/88/026Raichu.png/250px-026Raichu.png,https://www.serebii.net//pokedex-swsh/icon/026.png,electric,,60,90,55,90,80,110
27,Sandshrew,https://cdn.bulbagarden.net/upload/thumb/9/9e/027Sandshrew.png/250px-027Sandshrew.png,https://www.serebii.net//pokedex-swsh/icon/027.png,ground,,50,75,85,20,30,40
28,Sandslash,https://cdn.bulbagarden.net/upload/thumb/0/0b/028Sandslash.png/250px-028Sandslash.png,https://www.serebii.net//pokedex-swsh/icon/028.png,ground,,75,100,110,45,55,65
29,Nidoran♀,https://cdn.bulbagarden.net/upload/thumb/8/81/029Nidoran.png/250px-029Nidoran.png,https://www.serebii.net//pokedex-swsh/icon/029.png,poison,,55,47,52,40,40,41
30,Nidorina,https://cdn.bulbagarden.net/upload/thumb/c/cd/030Nidorina.png/250px-030Nidorina.png,https://www.serebii.net//pokedex-swsh/icon/030.png,poison,,70,62,67,55,55,56
31,Nidoqueen,https://cdn.bulbagarden.net/upload/thumb/b/bf/031Nidoqueen.png/250px-031Nidoqueen.png,https://www.serebii.net//pokedex-swsh/icon/031.png,poison,ground,90,92,87,75,85,76
32,Nidoran♂,https://cdn.bulbagarden.net/upload/thumb/4/4a/032Nidoran.png/250px-032Nidoran.png,https://www.serebii.net//pokedex-swsh/icon/032.png,poison,,46,57,40,40,40,50
33,Nidorino,https://cdn.bulbagarden.net/upload/thumb/9/9f/033Nidorino.png/250px-033Nidorino.png,https://www.serebii.net//pokedex-swsh/icon/033.png,poison,,61,72,57,55,55,65
34,Nidoking,https://cdn.bulbagarden.net/upload/thumb/c/c6/034Nidoking.png/250px-034Nidoking.png,https://www.serebii.net//pokedex-swsh/icon/034.png,poison,ground,81,102,77,85,75,85
35,Clefairy,https://cdn.bulbagarden.net/upload/thumb/f/f4/035Clefairy.png/250px-035Clefairy.png,https://www.serebii.net//pokedex-swsh/icon/035.png,fairy,,70,45,48,60,65,35
36,Clefable,https://cdn.bulbagarden.net/upload/thumb/a/a9/036Clefable.png/250px-036Clefable.png,https://www.serebii.net//pokedex-swsh/icon/036.png,fairy,,95,70,73,95,90,60
37,Vulpix,https://cdn.bulbagarden.net/upload/thumb/6/60/037Vulpix.png/250px-037Vulpix.png,https://www.serebii.net//pokedex-swsh/icon/037.png,fire,,38,41,40,50,65,65
38,Ninetales,https://cdn.bulbagarden.net/upload/thumb/0/05/038Ninetales.png/250px-038Ninetales.png,https://www.serebii.net//pokedex-swsh/icon/038.png,fire,,73,76,75,81,100,100
39,Jigglypuff,https://cdn.bulbagarden.net/upload/thumb/3/3e/039Jigglypuff.png/250px-039Jigglypuff.png,https://www.serebii.net//pokedex-swsh/icon/039.png,normal,fairy,115,45,20,45,25,20
40,Wigglytuff,https://cdn.bulbagarden.net/upload/thumb/9/92/040Wigglytuff.png/250px-040Wigglytuff.png,https://www.serebii.net//pokedex-swsh/icon/040.png,normal,fairy,140,70,45,85,50,45
